fp_pwr,rx_pwr,pwr_diff,rxpacc,dist_cm,fp_resid,label,frame_len
-74.4397259466,-94.0068578958,-19.5671319493,47,78,-76.5978338927,1,58
-71.2862023778,-93.1240550193,-21.8378526415,52,83,-72.9046405303,1,58
-71.5923949514,-92.8437677833,-21.2513728319,52,93,-72.2227359803,1,58
-73.4842733652,-94.2586056687,-20.7743323035,53,84,-74.998687644,1,58
-74.4596544837,-95.5558774957,-21.096223012,47,73,-77.1931972813,1,58
-71.68360361,-94.1897254846,-22.5061218747,48,80,-73.6218038701,1,58
-75.8085983349,-95.0504181291,-19.2418197942,53,83,-77.4270364874,1,58
-71.6815235736,-94.1303739723,-22.4488503987,50,76,-74.065251728,1,58
-74.6928106775,-95.1738791647,-20.4810684872,51,81,-76.5231102999,1,58
-77.9784339739,-94.6364912776,-16.6580573037,53,72,-80.8317840452,1,58
-70.3463128899,-93.2293888146,-22.8830759247,49,83,-71.9647510424,1,58
-71.4049224711,-93.576870736,-22.1719482649,51,79,-73.4523806453,1,58
-71.8169508342,-94.4710407582,-22.654089924,52,77,-74.0871363308,1,58
-73.3628562152,-95.0504181291,-21.6875619139,53,76,-75.7465843696,1,58
-74.2437712338,-94.9759580259,-20.7321867921,47,78,-76.40187918,1,58
-71.87820023,-94.1897254846,-22.3115252546,48,89,-72.8904000971,1,58
-73.2921104563,-94.6364912776,-21.3443808212,53,76,-75.6758386107,1,58
-72.6141402015,-94.0931551493,-21.4790149479,52,76,-74.9978683559,1,58
-73.1544582572,-94.3023774075,-21.1479191503,51,78,-75.3125662034,1,58
-72.2096347706,-94.4644328014,-22.2547980308,47,78,-74.3677427168,1,58
-71.864707672,-94.6473003902,-22.7825927182,48,71,-74.8395406976,1,58
-72.7530112213,-94.2586056687,-21.5055944474,53,84,-74.2674255,1,58
-73.8202624548,-94.2586056687,-20.4383432139,53,80,-75.758462715,1,58
-73.204396112,-94.7163042591,-21.5119081471,51,78,-75.3625040582,1,58
-71.8017134623,-93.7455340868,-21.9438206245,52,78,-73.9598214085,1,58
-84.0940098155,-97.8952675665,-13.8012577509,52,201,-78.0300886671,1,46
-90.1296361708,-98.1691255714,-8.03948940059,48,161,-85.9931186501,1,0
-86.8613630973,-98.6957043458,-11.8343412485,51,233,-79.5142446768,1,0
-84.9796600832,-97.8952675665,-12.9156074832,52,233,-77.6325416627,1,46
-80.4202639797,-99.0488448236,-18.6285808438,46,233,-73.0731455592,1,46
-86.0823659805,-98.8643676965,-12.7820017161,52,235,-78.661008735,1,46
-86.5367620635,-99.5976097905,-13.060847727,49,220,-79.6883084471,1,0
-88.2514623461,-98.8643676965,-10.6129053504,52,224,-81.2465019794,1,0
-85.7460909062,-98.8643676965,-13.1182767904,52,224,-78.7411305395,1,0
-85.8846685651,-98.5237009106,-12.6390323454,50,226,-78.8024997822,1,46
-88.993201343,-97.8952675665,-8.90206622343,52,226,-81.9110325601,1,46
-92.484939215,-99.0488448236,-6.56390560856,46,193,-86.7737930348,1,0
-86.5527298731,-99.0298182159,-12.4770883427,53,205,-80.317652652,1,0
-93.2857145478,-97.8952675665,-4.60955301864,52,223,-86.3196172869,1,46
-82.6773872575,-98.1691255714,-15.4917383139,48,161,-78.5408697368,1,0
-83.5845319616,-99.0488448236,-15.4643128619,46,207,-77.2651250525,1,0
-94.3542934277,-97.8952675665,-3.54097413876,52,156,-90.4918014606,1,46
-84.0434559647,-99.4185129374,-15.3750569728,48,205,-77.8083787435,1,0
-84.9412423402,-98.8643676965,-13.9231253563,52,161,-80.8047248196,1,0
-90.4972590177,-98.8643676965,-8.36710867885,52,175,-85.636498044,1,46
-92.9733637295,-99.2356453486,-6.26228161912,47,221,-86.0855182558,1,0
-84.6007473963,-98.6957043458,-14.0949569495,51,207,-78.2813404872,1,0
-94.1555396389,-97.103455106,-2.94791546709,52,245,-86.3722179516,1,46
