fp_pwr,rx_pwr,pwr_diff,rxpacc,dist_cm,fp_resid,label,frame_len
-75.4483668192,-97.103455106,-21.6550882868,52,502.204081633,-61.4307620573,0,0
-75.8042258165,-92.580478396,-16.7762525795,52,430.367346939,-63.1274395588,0,0
-72.0653376007,-93.1240550193,-21.0587174186,52,286.693877551,-62.91696923,0,0
-74.3612233227,-94.8849676098,-20.5237442871,52,214.857142857,-67.7182273978,0,0
-73.8178342662,-97.3791222943,-23.5612880282,49,149.76744186,-70.3094860306,0,0
-70.4144647727,-93.0502919616,-22.6358271888,48,131.906976744,-68.0091094408,0,0
-69.7527055813,-93.0502919616,-23.2975863802,48,114.046511628,-68.6110654627,0,0
-69.4660106748,-93.3979130242,-23.9319023494,48,96.1860465116,-69.8037691847,0,0
-77.5813571354,-95.8540677399,-18.2727106045,52,204.5,-71.3674908886,0,0
-72.1152197855,-95.3425425154,-23.2273227299,52,242.5,-64.4209849268,0,0
-84.3885018943,-96.4339872097,-12.0454853153,52,434.857142857,-71.6215697327,0,0
-86.7556699056,-101.874667653,-15.1189977476,52,458,-73.5383603455,0,0
-80.0575533036,-101.874667653,-21.8171143496,52,450,-66.9933030281,0,0
-80.2132601607,-98.3482224244,-18.1349622638,49,442,-67.3048147737,0,0
-76.2303541709,-99.4185129374,-23.1881587665,48,434,-63.4805595807,0,0
-80.1325734682,-99.5976097905,-19.4650363223,49,426,-67.5443814861,0,0
-80.2149513242,-101.874667653,-21.659716329,52,519.1,-65.9099307466,0,0
-82.2332133374,-97.3791222943,-15.145908957,49,407.9,-70.022139231,0,0
-80.3518486959,-94.2776322764,-13.9257835805,46,360.041666667,-69.2247934274,0,0
-77.6712436941,-94.8263972433,-17.1551535492,49,251.375,-69.664802022,0,0
-74.5241607752,-97.0171578525,-22.4929970772,47,205.428571429,-68.2709438546,0,0
-75.1949317854,-95.5558774957,-20.3609457103,47,164.514285714,-70.8708594615,0,0
-72.2511119478,-93.4048673008,-21.153755353,50,123.6,-70.4107425327,0,0
-75.0375986326,-99.5976097905,-24.5600111579,49,82.6857142857,-76.6889889839,0,0
-72.5834528046,-95.3425425154,-22.7590897108,52,101.583333333,-72.4470036132,0,0
-76.5005849128,-95.3425425154,-18.8419576026,52,185.615384615,-71.1283055208,0,0
-71.0702459946,-94.8849676098,-23.8147216153,52,421,-58.5846040778,0,0
-91.9828207372,-100.113755063,-8.13093432544,52,481,-78.3399192097,0,0
-76.9222687677,-99.4185129374,-22.4962441697,48,541,-62.2583234656,0,0
-77.7316059679,-101.179425528,-23.4478195601,48,571.75,-62.5874825023,0,0
-77.2715622767,-98.8643676965,-21.5928054199,52,515.928571429,-63.019770693,0,0
-76.4869229579,-98.8643676965,-22.3774447386,52,463.642857143,-63.1632514889,0,0
-75.7795292324,-100.113755063,-24.3342258302,52,178.344827586,-70.7543188662,0,0
-81.9308435323,-94.0931551493,-12.162311617,52,232,-74.6210838345,0,0
-81.0992079084,-95.0018757295,-13.902667821,50,280,-72.1560472816,0,0
-86.731002136,-97.8952675665,-11.1642654305,52,578,-71.4924453676,0,0
