fp_pwr,rx_pwr,pwr_diff,rxpacc,label,frame_len
-74.3612233227,-94.8849676098,-20.5237442871,52,0,0
-73.8178342662,-97.3791222943,-23.5612880282,49,0,0
-70.4144647727,-93.0502919616,-22.6358271888,48,0,0
-69.7527055813,-93.0502919616,-23.2975863802,48,0,0
-69.4660106748,-93.3979130242,-23.9319023494,48,0,0
-77.5813571354,-95.8540677399,-18.2727106045,52,0,0
-72.1152197855,-95.3425425154,-23.2273227299,52,0,0
-84.3885018943,-96.4339872097,-12.0454853153,52,0,0
-86.7556699056,-101.874667653,-15.1189977476,52,0,0
-80.0575533036,-101.874667653,-21.8171143496,52,0,0
-80.2132601607,-98.3482224244,-18.1349622638,49,0,0
-76.2303541709,-99.4185129374,-23.1881587665,48,0,0
-80.1325734682,-99.5976097905,-19.4650363223,49,0,0
-80.2149513242,-101.874667653,-21.659716329,52,0,0
-82.2332133374,-97.3791222943,-15.145908957,49,0,0
-80.3518486959,-94.2776322764,-13.9257835805,46,0,0
-77.6712436941,-94.8263972433,-17.1551535492,49,0,0
-74.5241607752,-97.0171578525,-22.4929970772,47,0,0
-75.1949317854,-95.5558774957,-20.3609457103,47,0,0
-72.2511119478,-93.4048673008,-21.153755353,50,0,0
-75.0375986326,-99.5976097905,-24.5600111579,49,0,0
-72.5834528046,-95.3425425154,-22.7590897108,52,0,0
-76.5005849128,-95.3425425154,-18.8419576026,52,0,0
-71.0702459946,-94.8849676098,-23.8147216153,52,0,0
-91.9828207372,-100.113755063,-8.13093432544,52,0,0
-76.9222687677,-99.4185129374,-22.4962441697,48,0,0
-77.7316059679,-101.179425528,-23.4478195601,48,0,0
-77.2715622767,-98.8643676965,-21.5928054199,52,0,0
-76.4869229579,-98.8643676965,-22.3774447386,52,0,0
-75.7795292324,-100.113755063,-24.3342258302,52,0,0
-81.9308435323,-94.0931551493,-12.162311617,52,0,0
-81.0992079084,-95.0018757295,-13.902667821,50,0,0
-86.731002136,-97.8952675665,-11.1642654305,52,0,0
-81.7948070569,-101.874667653,-20.0798605963,52,0,0
-75.0922292291,-95.3425425154,-20.2503132864,52,0,0
-72.3084982387,-93.7455340868,-21.4370358481,52,0,0
-78.0711055187,-95.3425425154,-17.2714369967,52,0,0
-73.357847969,-93.423687253,-20.065839284,52,0,0
-74.5553279952,-93.1240550193,-18.568727024,52,0,0
-72.0737213858,-93.7757986331,-21.7020772472,48,0,0
-73.2349388805,-93.5929310443,-20.3579921638,47,0,0
-69.8655415025,-91.8160972867,-21.9505557842,49,0,0
-70.2230115838,-92.6079097471,-22.3848981633,49,0,0
-71.1641796464,-93.9548954861,-22.7907158398,49,0,0
-70.3913143635,-94.1897254846,-23.7984111211,48,0,0
-70.0361339858,-93.0502919616,-23.0141579758,48,0,0
-71.8936525535,-93.3979130242,-21.5042604707,48,0,0
-73.6475017578,-95.3379224678,-21.69042071,49,0,0
-71.1570131538,-93.0830204671,-21.9260073132,50,0,0
-70.322858399,-93.3979130242,-23.0750546251,48,0,0
-72.3423713412,-93.9548954861,-21.6125241449,49,0,0
-72.8563379693,-95.5558774957,-22.6995395264,47,0,0
-80.3801164762,-97.2000254413,-16.8199089651,48,0,0
-82.1074199509,-96.0933204237,-13.9859004728,50,0,0
-84.598030577,-94.3688223377,-9.77079176069,49,0,0
-77.9613339863,-94.6473003902,-16.685966404,48,0,0
-81.0661477494,-98.1691255714,-17.102977822,48,0,0
-82.8841552855,-100.809757414,-17.9256021286,46,0,0
